Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Gift Card,SEO Title,SEO Description,Status
din-kreativa-plats,"Din kreativa plats - Kreativ Coaching","<p><strong>En meningsfull fritid</strong></p><p>Vill du skapa men fastnat i ""hur"" – eller saknar du skaparglädjen du hade förr? Tillsammans hittar vi vägen framåt utan krav eller självkritik, och gör första steget konkret och enkelt.</p><p><strong>Paketet inkluderar:</strong></p><ul><li>3 × coachingsamtal (1 per månad á 60 min) per video</li><li>Skriftlig sammanfattning efter varje samtal</li><li>Inspirerande hemuppgifter efter varje samtal</li></ul><p>5 250 kr totalt · 3 månader</p>",ArtBlendArt,,Coaching,coaching,TRUE,Title,Default Title,DKP-001,0,,,continue,manual,5250.00,,FALSE,TRUE,FALSE,"Din kreativa plats - Kreativ Coaching","Kreativ coaching för en meningsfull fritid. 3 coachingsamtal per video, skriftliga sammanfattningar och hemuppgifter. 5250 kr.",active
ide-till-verklighet,"Idé till verklighet - Kreativ Coaching","<p><strong>Gå från idé till genomförande — Populärast!</strong></p><p>Vet du vad du vill men inte hur du skall komma igång eller hur du skall göra - Jag hjälper dig genom hela processen.</p><p><strong>Paketet inkluderar:</strong></p><ul><li>3 × coachingsamtal (1 per månad á 60 min) per video</li><li>Skriftlig sammanfattning efter varje samtal</li><li>Inspirerande hemuppgifter efter varje samtal</li></ul><p>5 250 kr totalt · 3 månader</p>",ArtBlendArt,,Coaching,coaching,TRUE,Title,Default Title,ITV-001,0,,,continue,manual,5250.00,,FALSE,TRUE,FALSE,"Idé till verklighet - Kreativ Coaching","Kreativ coaching för att gå från idé till genomförande. 3 coachingsamtal per video. 5250 kr.",active
kickstart-coaching,"Kickstart - Kreativ Coaching","<p><strong>En kickstart för din kreativitet — Friskvårdsbidrag godkänd!</strong></p><p>För dig som vill använda friskvårdsbidraget till att öppna dörren till en mer kreativ fritid och som ger mening och balans i livet.</p><p><strong>Paketet inkluderar:</strong></p><ul><li>1 × coachingsamtal á 60 min per video</li><li>Skriftlig sammanfattning efter 60-minuterssessionen</li><li>Rekommendation för nästa steg efter sessionen</li></ul><p>Engångskostnad · Ingen bindning</p>",ArtBlendArt,,Coaching,coaching friskv&aring;rd,TRUE,Title,Default Title,KS-001,0,,,continue,manual,2500.00,,FALSE,TRUE,FALSE,"Kickstart - Kreativ Coaching","Kreativ coaching kickstart med friskvårdsbidrag. 1 coachingsamtal, sammanfattning och nästa-steg-rekommendation. 2500 kr.",active
